那是我的台词！	That's MY line!
我的手錶昨天被偷了。	I had my watch stolen yesterday.
我昨天钓到一条大鱼。	I caught a big fish yesterday.
我去年下决心要到日本来。	I decided to come to Japan last year.
我去年退休了。	I retired last year.
我昨晚看了那場棒球比賽。	I watched the baseball game last night.
我昨晚做了一個有趣的夢。	I had a funny dream last night.
我昨晚没睡好。	I did not sleep well last night.
我昨晚認識了他。	I got acquainted with him last night.
昨晚，我做了个好梦。	I had a good dream last night.
我是札幌的市民。	I am a citizen of Sapporo.
我連去散步的時間也沒有。	I don't even have time for a walk.
我在国外指派了。	I was abroad on an assignment.
我还是一个小男孩的时候就住在这里。	I have lived here since I was a boy.
我打算描寫我們的公園和山。	I am going to write about our parks and mountains.
在這次考試中我犯了幾個錯誤。	I made several mistakes in the exam.
我对以后做什么很迷茫。	I was puzzled about what to do next.
我下一站下车。	I am getting off at the next station.
我將在下一站下車。	I'm getting off at the next stop.
我想要有我自己的房间。	I want to have my own room.
我连自行车都没有，更不用说汽车了。	I don't have a bicycle, let alone a car.
我對我做過的事不後悔。	I have no regrets about what I did.
我不滿意我的英語能力。	I'm not satisfied with my English ability.
我厌倦了我的工作。	I am tired of my work.
我不在乎別人怎麼看我的打扮。	I don't care what people think about the way I dress.
我用我的字典查了那幾個字。	I looked up the words in my dictionary.
我往右拐的。	I turned right.
我在年轻的时候抽烟。	I did smoke when I was young.
我不知道應該接受還是拒絕。	I don't know whether to accept or refuse.
我身负一个重要的任务。	I am charged with an important mission.
好熱啊，我快受不了啦。	I can't stand the heat.
我正在找一個助手。	I am looking for an assistant.
我喜歡抒情詩多於史詩。	I like lyric better than epic.
将来我想做飞行员。	I want to be a pilot in the future.
我遇到一位小說家和一位詩人。	I met a novelist and a poet.
我會說一點日文。	I speak a little Japanese.
我用吸塵機把地上的灰塵吸掉了。	I sucked up the dust on the floor with a vacuum cleaner.
我要改變我的飲食嗎？	Do I have to change my diet?
我是一個虔誠的教徒，我相信死後的生命。	I'm a deeply religious man and believe in life after death.
我提出这一点之前，我的鞋和我去睡觉。	I make it a point to shine my shoes before I go to bed.
我感覺到自己的心在劇烈地跳動。	I felt my heart beating violently.
我在树林里迷路了。	I lost my way in the woods.
我喜歡住在科比的郊區。	I'd like to live in the suburbs of Kobe.
我俯身撿起了掉在地上的筆。	I bent over to pick up my pen which had fallen on the floor.
我差點在人群中和你失散了。	I all but lost you in the crowd.
我找到一個裝有幾枚古錢幣的鍋子。	I found a pot in which there were several old coins.
我從來沒有見過一條活生生的鯨魚。	I've never seen a live whale.
我會活到老工作到老。	I'll work as long as I live.
我在东京生长的。	I was born and raised in Tokyo.
我不是學生。	I'm not a student.
我要紅色的鞋子。	I wanted red shoes.
我需要一張郵票。	I need to get a stamp.
我把票弄丟了。	I've lost my ticket.
上个月我买了一台新电脑。	I bought a new computer last month.
我上星期把錢付了給他。	I paid him the money last week.
我不想很早起床。	I didn't want to get up early.
我給他的兒子做了一套新西裝。	I made his son a new suit.
我在大學主修美國文學。	I majored in American literature at college.
我在大學主修化學。	I majored in chemistry at the university.
我听到尖叫声。	I heard someone scream.
我感覺到地震了。	I felt the earth shake.
我中午前寫完這封信了。	I finished writing the letter by noon.
我把蛀牙拔掉了。	I got my decayed tooth pulled out.
我认识那位长胡子德国人。	I know that German with a long beard.
我在街上遇到Fred。	I met Fred on the street.
我在街上聽到有人叫我的名字。	I heard my name called by someone on the street.
我正等著這家店開門。	I am waiting for the store to open.
我無法壓抑心中的怒火。	I couldn't keep my anger down.
我愛瞳。	I love Hitomi.
我迷了路，而且更糟的是天開始下雨了。	I lost my way and, what was worse, it began to rain.
我每年7月4号都会来这里。	I come here every Fourth of July.
我很喜歡奈良，尤其在秋季的時候。	I love Nara, particularly in the fall.
我很難解決這個問題。	I had difficulty working out the problem.
我有两本书。	I have two books.
我不想晒黑。	I don't want to get a suntan.
我回到了日本。	I returned to Japan.
我对日本一无所知。	I don't know anything about Japan.
我很喜歡日本的美食，也很喜歡日本的風俗，所以我自然也很喜歡在日本生活。	I like Japanese food and customs, so it follows that I like living in Japan.
我不太喜欢他，其实我讨厌他。	I don't like him much, in fact I hate him.
我以為他一定會考試合格。	I took it for granted that he would pass the exam.
我覺得他是個十分親切的人。	I think he is a very kind man.
我拿到了他還給我的錢。	I got the money back from him.
我直接從他那裡得到訊息。	I got the information from him directly.
我擔心他。	I worry about him.
我不知道他是谁。	I don't know who he is.
他回來的時候，我剛好寫完了信。	I had just written the letter when he came back.
我曾與他的比賽網球。	I had a tennis match with him.
我在法國認識了他。	I got acquainted with him in France.
我和他比賽跑步。	I ran a race with him.
我付他一百美元給我洗車。	I got him to wash my car for a hundred dollars.
我打算買支筆送給他。	I'll buy a pen for him.
我讓他油漆了這個柵欄。	I got him to paint the fence.
我要他擦亮我的皮鞋。	I got him to polish my shoes.
我讓他修理了我的腳踏車。	I got him to fix my bicycle.
我提醒他要去會見總裁。	I reminded him of his interview with the president.
我讓他修理我的車子。	I got him to repair my car.
我欠他一百元。	I owe him $100.
我厌倦了他的老笑话。	I was bored with his old jokes.
我跟着他去了房间里。	I followed him into his room.
我不知道該怎麼答他。	I didn't know how to answer his question.
他突然过世的消息让我感到惊讶。	I was surprised at the news of his sudden death.
我夢到了他。	I had a dream about him.
我不知道他叫甚麼名字。	I don't know his name.
我看著一輪煙圈從他的雪茄裏冒出來，飄到了空氣中。	I watched a ring of smoke that floated from his cigar into the air.
我給了他們衣服和一些食物。	I gave them clothing and some food.
我不禁為他感到難過。	I can't help feeling sorry for him.
我覺得他是一個優秀的作家。	I consider him as a great writer.
她一封信也沒有寄來。	Not a letter did I receive from her.
我和她聊得很愉快。	I had a nice chat with her.
我很高興有她的陪伴。	I am glad to have her company.
我記得我看過她。	I remember seeing her.
我從她那裡得到這些舊錢幣。	I got these old coins from her.
我要求她馬上離去。	I demanded that she should go.
我讓她把我的房間弄乾淨。	I got her to clean my room.
我被她甜美的聲線迷倒了。	I was fascinated by her sweet voice.
她的借口我已经听腻了。	I'm sick of her excuses.
我無法理解她所說的。	I could not catch her words.
我對她的評價很好。	I had a good opinion of her.
即使她愛我，我也不愛她。	I don't love her, not even if she loves me.
我可以安慰她。	I can comfort her.
我讓她興奮。	I excited her.
我喜歡以悲劇收場的故事。	I like stories that have sad endings.
我很累, 然而, 我必須完成我的回家作業。	I am tired, nevertheless, I must finish my homework.
我從來沒有坐過飛機。	I've never flown in an airplane.
我寧願搭飛機旅行。	I prefer to travel by air.
我爬過兩次富士山。	I've climbed Mt. Fuji twice.
我從來沒有爬過富士山。	I've never climbed Mt. Fuji.
我喜歡閱讀多於寫作。	I prefer reading to writing.
我對物理學完全沒有興趣。	I'm not in the least interested in physics.
我讀完書之後就去睡覺。	I go to bed after I study.
我真的很關心你的未來。	I'm really concerned about your future.
我给我姐姐一个洋娃娃。	I gave my sister a doll.
我每天早上都會浸浴。	I always take a bath in the morning.
每天早上我養成看電視英語課程的習慣。	Every morning I make it a rule to watch the English course on TV.
我每天做兩個小時的運動。	I get two hour's exercise every day.
我不在乎将来。	I don't care a bit about the future.
我有一个女儿。	I have a daughter.
我明天必须早走。	I must leave early tomorrow.
有個朋友正在大堂等我。	I have a friend waiting for me at the lobby.
我請我的朋友來幫助我。	I got my friends to help me.
我吃完晚飯後看電視。	I watch television after supper.
我在七時十五分吃晚飯。	I have my supper at a quarter past seven.
我在考虑明年去国外。	I'm thinking of going abroad next year.
我去了理髮店理髮。	I had my hair cut at a barber's shop.
我很期待去旅游.	I am looking forward to the trip.
我把旅费耗光了。	I have run out of my traveling expenses.
对我来说，是质量不如数量。	I put quantity after quality.
我乘火車去了神戶。	I went to Kobe by train.
我喜歡搭火車旅行。	I like to travel by train.
你和我都是這個學校的學生們。	You and I are both students at this school.
請帶我到處看看。	Please show me around.
請幫助我。	Please help me.
知道如何使用电脑对我们来说变得很重要。	It is becoming important for us to know how to use a computer.
我們登得愈高，空氣就愈稀薄。	The higher we go up, the thinner the air becomes.
我們在那裡有一個不愉快的經歷。	We had an unpleasant experience there.
我们的市场占有率为20%。	We have a 20% share of the market.
我們種植各種的作物。	We grow a variety of crops.
我們在同一時間到了那裡。	We got there at the same time.
我們實行了那個計劃。	We carried out that plan.
我們討論那個問題討論了很久。	We discussed the problem for a long time.
我們成功地游過了河。	We managed to swim across the river.
倫敦起了大霧。	We had a heavy fog in London.
我們一起去野餐了。	We went on a picnic together.
观众面前唱歌让我们大家都感到尴尬。	We all felt embarrassed to sing a song in public.
我們上學可能會遲到。	We may be late for school.
我們很急。	We're in a hurry.
我們從馬來西亞得到材料。	We get the materials from Malaysia.
我們用口進食。	We eat with our mouths.
我們昨晚有一個聚會。	We had a party last night.
為了保護自己，我們只好說謊。	To defend ourselves, we had to tell a lie.
我们在新宿上公共汽车了。	We got on the bus at Shinjuku.
我們在中午吃了飯。	We took lunch at noon.
我們在雪地裡迷了路。	We got lost in the snow.
我們跳進了河裏。	We plunged into the river.
我們為村民提供了食物。	We have supplied the villagers with food.
我們在地上掘了一個洞。	We dug a hole in the ground.
我们花了很长时间找停车场。	We spent a lot of time looking for a parking lot.
我們在冬天經常去滑雪。	We often went skiing in winter.
我們在樹蔭下休息。	We had a rest in the shade.
我們追著貓。	We ran after the cat.
我們聽到炸彈爆炸了。	We heard the bomb go off.
我們讓他幫我們拿袋子。	We got him to carry our bag.
我們為他們提供了食物和衣服。	We provided food and clothes for them.
我们通常步行去学校。	We usually walk to school.
我們交談了有關棒球的事。	We had a conversation about baseball.
我們吃過晚飯，就一起載歌載舞，談天說地。	We sang, danced and chatted after dinner.
在你的紙上畫一條線。	Draw a line on your paper.
纸很好着火。	Paper catches fire easily.
紙是由中國人發明的。	Paper was invented by the Chinese.
我摺了一隻紙飛機。	I made a paper plane.
紫外線可導致皮膚癌。	Ultraviolet rays can cause skin cancer.
請驗驗我的視力。	Please check my vision.
詩人對他愛的女人表達了他火熱的激情。	The poet expressed his burning passion for the woman he loved.
我嘗試用左手寫字。	I tried writing with my left hand.
恐怕直到考試結束前我都沒空。	I am afraid that I shall not be free till the examination is over.
你雖然考試不及格，但也不必自卑。	You needn't be ashamed because you failed the exam.
雖然考試近了, 他還沒有把書唸完。	He could not get through his work, though the examination was near.
他們作夢也想不到會輸掉這場比賽。	Little did they dream of losing the game.
资本、土地和劳动是生产的三大要素。	Capital, land and labor are the three key factors of production.
把你的牙刷干净。	Brush your teeth clean.
我要去看看牙醫了。	I've got to see a dentist.
事情發生之前都會有先兆。	Coming events cast their shadows before them.
發生了那件事以後，那位政治家一直沒有公開露面。	The politician didn't appear in public after the incident.
發生了那次意外以後，她就沒有再公開露面了。	She stopped appearing in public after her accident.
事故發生後不久，警察來了。	Shortly after the accident, the police came.
為了避免情況惡化，我們馬上採取了行動。	We took action immediately so that things wouldn't get worse.
情況正在改善，所以振作起來！	The situation is improving, so cheer up!
一刻也不浪費。	There's not a moment to waste.
情況非常嚴重。	The situation is very serious.
随着时间的推移，比赛增加了规则以使之更安全。	As time went on, rules were added to the game to make it safer.
時間能夠加深友誼，但是卻會沖淡愛情。	Time, which strengthens friendship, weakens love.
人們常說沒有甚麼比時間更重要。	It is often said that nothing is more precious than time.
請問現在幾點？	Can you tell me the time?
你不该浪费你的时间。	You should not waste your time.
一個時鐘最重要的是準確。	A clock must be above all correct.
这次火车没能按时到达。	At times the train doesn't arrive on time.
告訴我們下一步該怎麼做。	Tell us what to do next.
我現在該怎麼做呢？	What am I to do next?
問題是下一步要做什麼。	What to do next is the question.
下週日將有一場音樂會。	There will be a concert next Sunday.
請改正以下句子。	Correct the following sentences.
把下列句子翻譯成英文。	Put the following sentences into English.
將下列句子翻譯成日文。	Translate the following sentences into Japanese.
所有的医药费我大概要付多少？	About how much will I have to pay for all the treatments?
你用啲咩嚟撩耳屎㗎？	What do you use to pick wax out of your ears?
這聽起來可能像是我在自吹自擂, 但是...	This may sound like blowing my own horn, but ...
我討價還價地買到了這輛自行車。	I got the bicycle at a bargain.
直到我自己有了孩子我才明白了什么是母爱。	It was not until I had a baby myself that I knew what mother's love is.
花光他們所有的錢會很荒謬。	It would be ridiculous to spend all their money.
她見到的不是自己，而是另一個女人。	Who she saw was not herself but a different woman.
你要為自己做的事負上責任。	You will have to be responsible for what you've done.
自己試試看吧。	Try it out yourself.
不要干預不關你的事！	Don't interfere with matters that do not concern you!
我在我的行李上附上了有我名字的標籤, 但是它很快就剝落了。	I attached my name-tag to my baggage, but it soon came off.
你很诚实地承认了你的错误。	You are honest to admit your mistake.
他正在自己的房間裏看書。	He is reading a book in his room.
直率在日本人的眼中並不是一種美德。	Showing your real feelings is not considered a virtue in Japan.
編字典是一項極花時間的工作。	Compiling a dictionary demands an enormous amount of time.
别怕犯错啊。	Don't be scared of making mistakes.
有什么比失明更不幸的呢？	What greater misfortune is there than to go blind?
對不起。你會講英語嗎？	Excuse me. Do you speak English?
嫉妒是謀殺的動機。	Jealousy was the motive for the murder.
真是一個好主意！	What a wonderful idea!
事實上，我說西班牙語。	As a matter of fact, I do speak Spanish.
誰也說不準實際上將會發生什麼事。	What will actually happen is anyone's guess.
從現實的角度看，他的計劃有很多缺點。	From the practical point of view, there are many shortcomings in his plan.
離開草坪!	Get off the lawn!
我们坐在草地上吧。	Let's sit on the grass.
我躺在草地上。	I lie on the grass.
不要踐踏草地。	Don't trample on the grass.
在那灘冰淇淋的周圍，有一群螞蟻在爬來爬去。	The area around the melting ice cream was crawling with ants.
当我们想到男女在社会中的传统角色时，我们认为丈夫养家，妻子照顾孩子和家庭。	When we think of the traditional roles of men and women in society, we think of husbands supporting the family, and wives taking care of the house and children.
我們上社會課的時候談到了槍械管制的問題。	We discussed gun control in social studies class.
社會不是在進步，而是在退步。	Social conditions are going backward rather than forward.
社会保障吗？他们在说什么笑话？	Social security? Who do they think they're kidding.
有車來了。	There's a car coming.
如果他在撞車前戴好了安全帶，現在就不會死了。	He would still be alive if he had worn his seat belt during the car crash.
我想要一辆车，但我没钱买。	I want a car, but I have no money to buy one.
我乘車去了海邊。	I've been to the seaside by car.
法律規定，在車輛和飛機上，一定要扣上安全帶。	It's the law: always buckle your safety belt in cars and airplanes.
車輛靠左行駛。	Keep to the left when driving.
沒有駕駛執照不能開車。	You must have a driver's license before you can drive a car.
你有多少部車？	How many cars do you have?
輪子開始慢慢轉動。	The wheel began to roll slowly.
當你年輕的時候, 你應該多讀點兒書。	While you're young, you should read a lot.
他年輕時很勤奮工作。	In his younger days he worked very hard.
青春只有一次。	You are only young once.
那個年輕人既找不到自己喜歡的工作，又一個朋友也沒有 ﹣ 他真的不知道該怎麼辦好。	That young man can't get the sort of jobs he wants and doesn't have any friends; he's really at a loss.
年輕人對金錢總是沒甚麼興趣，他也不例外。	As is often the case with young people, he was indifferent to money.
年輕人通常都是充滿活力的。	Young people are usually full of energy.
青年人總愛挑戰極端。	Young people are apt to go to extremes.
少年決定要向她求婚。	The young man decided to propose to her.
我們一定要保持雙手清潔。	We must keep our hands clean.
手续费是多少？	How much is the commission?
供應和需求之間的關係十分密切。	There is close relationship between supply and demand.
挣的越多钱，就花得越多钱。	The more you earn, the more you spend.
這個週末你可以抽點時間教我法文嗎？	Will you have a little time this weekend to help me with my French?
充足的休息十分重要。	It's very important to get enough rest.
十和田湖以它的美麗聞名。	Lake Towada is famous for its beauty.
我舅舅讓我擔任翻譯。	My uncle made me serve as interpreter.
我姑姑做了一條新裙子給我。	My aunt made me a new skirt.
我做完了所有的回家作業。	All my homework is done.
這個回家作業很容易就做完了。	The homework was easily done.
是該離開的時候了。	It's time to go.
滾出去！	Get out!
萬一發生火災，按下按鈕。	In case of fire, push the button.
他的演說感動了在場的每一個人。	All the people present were moved by his speech.
一場春雨使花朵回復了生氣。	A spring rain revived the flower.
春天快來了。	Spring is just around the corner.
春天是访问京都最好的季节。	Spring is the best season to visit Kyoto.
從駿河灣看, 富士山很美麗。	Mt. Fuji as seen from Suruga Bay is beautiful.
我很高興能夠認識您。	I am glad to make your acquaintance.
首次訂購可獲九五折的特別優惠。	Your initial order is subject to a special discount of 5%.
我起初覺得廣播體操很無聊，但是現在卻喜歡上了。	At the beginning, I was bored with radio gymnastics, but now I do not dislike it.
我起初不怎麼喜歡搖滾音樂，不過現在喜歡上了。	At first I did not like rock music, but now I do.
初學者應先學習口說英語。	Beginners should learn spoken English first.
在炎熱的季節時，有些食品很容易變壞。	During hot season, perishables go bad easily.
生啤酒在大熱天時特別好喝。	Draft beer tastes especially good on a hot day.
那辆山地车多少钱？	How much is that mountain bike?
太熱了不能待在這裡。	It is too hot to stay here.
重要的是要互相幫助。	It is important to help each other.
女人的力量在她的舌頭。	A woman's strength is in her tongue.
沒有辦法阻止一個女孩的喋喋不休。	There is no stopping a girl's tongue.
女性永遠只能扮演次要角色嗎？	Must the woman always play the secondary role?
想像一下 Ed 男扮女裝之後會變成甚麼樣子。	Can't you just picture Ed in woman's disguise?
傷口流出膿液。	The wound discharged pus.
贏的機會微乎其微。	There's an outside chance of winning.
做个赢家很好。	It is good to be a winner.
生意怎么样？	How's business?
生意停頓了以後，許多公共浴堂都添置了桑拿浴室、健身器材等的新設備，希望能吸引多點人來光顧。	After business came to a halt, many bathhouses added new facilities, such as saunas and exercise equipment, in an effort to attract customers.
想要得到女儿，就必须从她母亲那儿开始努力。	He who would the daughter win, with the mother must begin.
我正在找一個小手提箱。	I'm looking for a small suitcase.
善待小動物。	Be kind to little animals.
我很想念小學的老師。	I miss my elementary school teachers.
可以借點錢給我嗎？我現在有點缺錢。	Could you lend me some money? I'm short of cash at the moment.
请您等几分钟好吗？	Would you please wait for a few minutes?
我可以和你講一下話嗎?	May I speak to you a minute?
一知半解很危險。	A little learning is a dangerous thing.
我觉得我要躺一下了。	I think I'll lie down for a while.
這個女孩面帶微笑向我打招呼。	The girl greeted me with a smile.
男孩收集了一把花生，然後把它們放到了一個小箱子裏。	The boy gathered a handful of peanuts and put them in a small box.
這個男孩有一張紅潤的臉。	The boy had a red face.
地板一定要保持乾淨。	The floor must be very clean.
消防員還沒有趕到，那兩幢大廈就已經燒成灰燼了。	Before the firemen were able to arrive, both buildings burned down.
消防隊很快就把大火撲熄。	The firemen quickly extinguished the blaze.
大象有長鼻子。	An elephant has a long nose.
我老板把艰巨的任务指派给了我。	My boss assigned the hard job to me.
下下一站是上野站。	Ueno is the station after next.
並非所有的乘客都免於受傷。	Not all of the passengers escaped injury.
玩笑归玩笑，事情进展得怎么样了？	Joking aside, how are things going?
情況越來越糟糕。	The situation went from bad to worse.
锁坏了。	The lock is broken.
咖啡將會在餐後供應。	Coffee will be served after the meal.
出去吃飯嗎？	What about going out for a meal?
饭前要洗手。	Wash your hands before meals.
重要的是要遵循嚴格的飲食控制。	It's important to follow a strict diet.
各國有不同的飲食習慣。	Eating habits differ from country to country.
糧食供應十分充足。	There is an abundant supply of foodstuffs.
等到指示燈變成綠色。	Wait till the light turns green.
等到燈變為綠色。	Wait until the light changes to green.
不要吵醒熟睡中的孩子。	Don't wake up the sleeping child.
你睡覺之前不要忘了熄燈。	Don't forget to put out the light before you go to bed.
我无法治愈心碎。	I cannot heal a broken heart.
只有少数的人是无忧无虑的。	Few people are free from cares.
別擔心，我已經完全康復了。	Don't worry. I have completely recovered.
慎也娶了个漂亮姑娘。	Shinya married a pretty girl.
我需要一支新的笔。我会买一支。	I need a new pen, I'll buy one.
他承诺给这个地区带来新的工业，但是政治家很少完成他们的承诺。	He promised to bring new industries to the region, but politicians rarely keep their word.
他對他的新業務感到緊張。	He was tense with his new business.
可以把新地址告訴我嗎？	Please let me know your new address.
新的新幹線多快呀！	How fast the new Shinkansen goes!
新郵票將於下個月發行。	New stamps will be issued next month.
一条新的马路正在修建中。	A new road is under construction.
剛從天上降下來的雪，鋪滿了整個山頭，看起來美麗極了。	The fresh snow looks beautiful on the hill.
新年是大吃大喝的好時節。	New Year is the time for a lot of eating and drinking.
我們開出了一條穿過森林的小路。	We hacked a path through the forest.
森林裡又再變得安靜下來了。	It became quiet again in the forest.
我很抱歉, 但它是不可能的。	I'm sorry, but it's impossible.
有些人信神，有些人不信神。	Some people believe in God and others don't.
神戶是著名的港口。	Kobe is famous for its port.
科比是一個著名的港口城市。	Kobe is famous as a port city.
神户是我出生的城市。	Kobe is the city which I was born in.
一个神圣的仪式在庄严的庙宇中举行。	A sacred ritual took place in the magnificent temple.
神話和傳說應該一代一代的傳承下去。	Myths and legends should be handed down from generation to generation.
家長或老師應該讓孩子們享受閱讀的樂趣。	A parent or teacher should bring home to children the pleasure of reading.
父母爱自己的孩子。	Parents love their children.
父母有責任照顧子女的健康。	Parents have responsibilities to look to their children's health.
從她的外表上看，我想她大半是個有錢人。	Judging from her appearance, I think that she's rich.
正如身體需要鍛煉，所以心靈需要刺激才能保持健康。	Just as the body needs exercise, so the mind needs stimulation to stay healthy.
所有持有 ID 卡的學生都能進入圖書館。	Any student with an I.D. card has access to the library.
電線被用來運送電力。	Wires are used to convey electricity.
每個人都應該愛自己的母親。	One should love his mother.
每個人都應該是自己命運的主宰。	Everyone ought to be a master of his own destiny.
人们认为他是一名伟大的学者。	People thought him a great scholar.
你不應該以貌取人。	You should not judge a man by his appearance.
嘲笑別人是無禮的。	It is rude to laugh at others.
人类在月球上居住已不再是梦想。	It is no longer a dream for man to live on the moon.
人擁有得愈多，貪念就愈大。	The more we have, the greater our desire will be.
人早晚会死。	Man will die sooner or later.
人類是環境的產物。	Man is a creature of circumstances.
人類適應環境變化的能力很強。	Man has a great capacity to adapt to environmental changes.
人類有思考和說話的能力，動物卻沒有。這就是人和動物的分別。	Human beings differ from animals in that they can think and speak.
人是由靈魂和肉身組成的。	Man consists of soul and body.
人口穩定地增加。	There was a steady increase in population.
在過去的五年裏人口增長了一倍。	The population has doubled in the last five years.
胡蘿蔔中含有大量的維生素A。	Carrots contain a lot of vitamin A.
人群把傷者團團圍住，但醫生來到現場時都讓了路給他。	The people crowded round the injured man, but they made way for the doctor when he reached the scene of the accident.
以前人們以為只有人類才懂得用語言溝通。	People used to think that only humans could use language.
人們都為他們的好運感到十分高興。	The people exulted over their good luck.
這就是生命。	This is the life.
我為人生感到很開心。	I get a kick out of life.
在我們了解人生之前人生已經過了一半。	Life is half spent before we know what it is.
生命确实是好的东西。	Life is indeed a good thing.
人生十分短暫。	Life is very short.
人生充滿了高低起伏。	Life is full of ups and downs.
生活並不都是輕鬆愉快的。	Life is not all fun and games.
人生十分短暫，我們不應該浪費時間。	Life being very short, we ought not to waste time.
生活中最好的一天。	The best day in one's life.
他在公共場合取笑了我。	He made fun of me in public.
他們在圖書館裝備了新的書籍。	They furnished the library with new books.
閱覽室裡禁止說話。	Don't talk in the reading room.
一項估計顯示，今年的鋼鉄產量將會達到一億噸。	According to an estimate, steel production will reach 100 million tons this year.
水從破裂的水管傾瀉而出。	Water poured from the broken pipe.
水和冰雖然形態不同，但其實是同一種物質。	Water and ice are the same substance in different forms.
生活沒有水是不可能的。	It is impossible to live without water.
水的化學式為H-O-H。	The chemical formula for water is H-O-H.
水至清则无鱼。	Clear water breeds no fish.
當水被加熱時，水汽蒸發。	Water evaporates when it is heated.
那份數學功課比我想像中容易。	The math homework was easier than I had expected.
數學是所有科學的基礎。	Mathematics is basic to all sciences.
數學對我來說是一個容易的科目。	Mathematics is an easy subject for me.
数学是他最强的科目。	Mathematics is his strongest subject.
數年過去了。	Several years went by.
世界上沒有人能夠不付出努力就獲得成功。	No one succeeds in the world without effort.
全世界百分之八十電腦上的資訊都是用英語寫的。	Eighty percent of all information on computers around the world is in English.
世界人口将在不久的将来增加两倍。	The population of the world will double before long.
世界人口有上升的趨勢。	The world's population tends to increase.
就連世界首富也不可能得到一切。	The richest man in the world cannot buy everything.
就算是全世界跑得最快的人，也要吃飽了才跑得動。	The fastest runner in the world cannot run if he is hungry.
因為世界上的人不是講同一種語言, 所以現在很多人努力致力於翻譯。	Because people in the world don't speak the same language, much effort is now devoted to translation.
世界上許多學生正在學習英語。	A lot of students around the world are studying English.
雖然已經踏入了新世紀，但是工廠僱用童工的情況還是沒有改善。	At the turn of the century, children still worked in factories.
會成功的男人必須請求妻子讓他離開出外打拼。	He that will thrive must ask leave of his wife.
如果你要成功, 你必須現在開始學習。	If you are to succeed, you must start studying now.
如果你想成功，必先付出努力。	You have to make efforts if you are to succeed.
金錢在政界是十分重要的。	Money counts for much in political circles.
政客都很會賺錢。	Politicians are good at raising money.
政府用直升機把物資送到了那個小島。	The government transported goods to the island by helicopter.
星星開始在天空中出現。	Star began to appear in the sky.
沒看到任何一顆星星。	Not a star was to be seen.
睛天的時候，就可以看見富士山了。	On a clear day you can see Mt. Fuji.
是非对错，有时很难分辨。	It is sometimes hard to tell right from wrong.
請檢查一下正確答案。	Please check the correct answer.
請把正確答案圈出來。	Please circle the right answer.
我想知道確切的時間。	I'd like to know the exact time.
元旦就在眼前。	New Year's Day is close at hand.
誠實是一種美德。	Honesty is a virtue.
誠實不總是最好的策略。	Honesty is not always the best policy.
這就是人生！	This is life!
生魚很容易變壞。	Raw fish easily goes bad.
該學生把考試卷交給了老師。	The student handed the examination papers in to the teacher.
有些學生去了圖書館，但其他的都在課室裏。	Some of the students are in the library, but the others are in the classroom.
只有一點點的知識是危險的事。	A little knowledge is a dangerous thing.
精神的健康和身體的健康一樣重要。	Mental health is as important as physical health.
你如果看見聖靈降下，落在誰身上，誰就是用聖靈替人施洗的了。	The man on whom you see the Spirit come down and remain is he who will baptize with the Holy Spirit.
大家都以為西園寺會勝出那場決鬥的，但他卻輸了。	Kyouichi Saionji, who he supposed would win the duel, has lost.
请安静！孩子们在睡觉。	Be quiet; the kids are asleep.
如果您移過去一點, 每個人就可以有空間了。	If you would move over, there would be room for everyone.
以前的人不知道地球是圓的，也不知道地球是繞著太陽轉的。	Formerly people did not know that the earth is round and that it moves round the sun.
我遇見了以前的班主任時，他問候了我的父母。	When I met my former teacher, he inquired after my parents.
古代的探險家用星星來辨別方向。	Early explorers used the stars for navigation.
很久、很久以前，有一個村子，裏面住了一個老人。	Long, long ago, there lived an old man in a village.
煤并不一定都是黑的。	Coal is not always black.
那艘船失去平衡，翻了過來。	Due to a lack of balance the ship turned over.
這個嬰兒盯著我的原子筆看, 並且伸手要拿它。	The baby caught sight of my ballpoint pen and reached out for it.
孩子在母亲的怀中熟睡。	The baby was sound asleep in her mother's arms.
嬰兒不懂得分是非黑白。	A baby has no knowledge of good and evil.
這個嬰兒還沒有學會走路。	The baby is not capable of walking yet.
宝宝连走都不会，更何况是跑。	The baby can't walk, much less run.
嬰兒在搖籃中睡覺。	The baby was sleeping in the cradle.
赤道把地球分为两个半球。	The equator divides the globe into two hemispheres.
我能看一下您的票吗？	May I have a look at your ticket?
他給我解釋了半天，但我還是不明白。	I'm none the wiser for his explanation.
雪从周一下到周五。	It snowed from Monday to Friday.
積雪深及膝蓋。	The snow was knee deep.
我很肯定！	I'm absolutely sure!
上星期有五個人缺課。	Last week five students were absent from class.
上星期天我的家庭去了动物园看熊猫。	My family went to the zoo to see pandas last Sunday.
從上週四開始一直下雨。	It has been raining since last Thursday.
上星期在一次派對中我遇到了瑪麗。	I ran into Mary at a party last week.
上星期我非常地忙。	I was very busy last week.
上週我胖了五磅。	Last week I gained another five pounds.
截至上週，我還沒有收到答覆。	Up to last week, I hadn't received a reply.
上週我休了一天的假。	I took a day off last week.
老師患了重感冒。	The teacher had a bad cold.
我們的老師說水到了一百度就會沸騰。	Our teacher said that water boils at 100ºC.
老师说明了词的意思。	The teacher explained the meaning of the word to us.
老師再次恢復健康了。	The teacher got quite well again.
我们的老师会给我们出难题。	Our teacher will give us difficult problems.
老師要我們重複這個字。	The teacher made us repeat the word.
老師叫我站起來。	The teacher told me to stand up.
