我們試試看！	我們 試試看 ！
他沒有辦法生火，便只好把魚活生生的吃掉。	他 沒有 辦法 生火 ， 便 只好 把 魚 活生生 的 吃掉 。
我出國留學。	我 出國 留學 。
他戴着手套。	他 戴着 手套 。
我房间里家具不是很多。	我 房间 里 家具 不是 很多 。
他是开车来的，而不是乘火车来的。	他 是 开车 来的 ， 而不 是 乘 火车 来的 。
我有两颗蛀牙。	我 有两 颗 蛀牙 。
不要把我当孩子一样对待。	不要 把 我 当 孩子 一样 对待 。
我现在精神不好。	我 现在 精神 不好 。
他的建议促使我改变了主意。	他的 建议 促使 我 改变 了 主意 。
他应该40岁左右吧。	他 应该 40 岁 左右 吧 。
你应该更注意你说的话。	你 应该 更 注意 你说 的话 。
如果你需要雨伞的话，我借你一把。	如果 你 需要 雨伞 的话 ， 我 借 你 一把 。
刹车的功能是使车停下。	刹车 的 功能 是 使 车 停下 。
吸烟是个坏习惯。	吸烟 是 个 坏 习惯 。
Bill，早点回来。	Bill ， 早点 回来 。
哦，是啊，我记起来了。	哦 ， 是 啊 ， 我 记起 来 了 。
他开着窗睡着了。	他 开着 窗 睡着了 。
今天早上我去了公园。	今天 早上 我 去了 公园 。
孩子们真的长得很快。	孩子们 真的 长得 很快 。
他的故事可能是真的吗?	他的 故事 可能 是 真的 吗 ?
他被选为总统。	他 被选为 总统 。
我昨天踢了足球。	我 昨天 踢 了 足球 。
公车离开了车站。	公车 离开 了 车站 。
格林先生教过我英语。	格林 先生 教过 我 英语 。
你选哪个，这个还是那个?	你 选 哪个 ， 这个 还是 那个 ?
我在想有没有人能帮我做这个。	我 在想 有没有 人 能 帮我 做 这个 。
他昨天离开去了伦敦。	他 昨天 离开 去了 伦敦 。
早餐准备好了吗?	早餐 准备好 了 吗 ?
我希望下次你在东京的时候可以见到你。	我 希望 下次 你 在 东京 的时候 可以 见到 你 。
打网球对健康很好。	打 网球 对 健康 很好 。
乌云是下雨的征兆。	乌云 是 下雨 的 征兆 。
你怎么敢对我说这样的话?	你 怎么 敢 对 我 说 这样 的话 ?
他把头发剪了。	他 把头 发 剪 了 。
他和我妹妹结婚了。	他 和 我 妹妹 结婚 了 。
我有两个兄弟。	我 有两 个 兄弟 。
就我所知，他很可能是在意大利出生的。	就 我 所知 ， 他 很可能 是 在意 大利 出生 的 。
我小睡后就感到精力充沛。	我 小睡 后 就 感到 精力充沛 。
你受骗了。	你 受骗 了 。
谁照顾孩子？	谁 照顾 孩子 ？
那另外一队轻视了我们。	那 另外 一队 轻视 了 我们 。
你如果能利用重力，那就这么做吧。	你 如果 能 利用 重力 ， 那 就 这么 做 吧 。
要么你去，要么我去。	要么 你去 ， 要么 我 去 。
万一来不了，我会先给你打电话。	万一 来不了 ， 我 会 先给 你 打电话 。
对了，我明天有事。	对了 ， 我 明天 有 事 。
喝开胃酒的时候就要到了。	喝 开胃 酒 的时候 就 要到 了 。
很明显你说了谎。	很 明显 你说 了 谎 。
我不知道做什么，就问了他的意见。	我 不知道 做 什么 ， 就 问 了 他的 意见 。
我也这么认为。	我 也 这么 认为 。
昨晚，我做了个好梦。	昨晚 ， 我 做了 个 好 梦 。
她很可能活到100岁。	她 很可能 活到 100 岁 。
我的车在哪儿?	我的 车 在哪 儿 ?
如果我知道的话，我早就已经告诉你了。	如果 我 知道 的话 ， 我 早就 已经 告诉 你 了 。
那当然。	那 当然 。
我们是学生。	我们 是 学生 。
他们一周上3节英语课。	他们 一周 上 3 节 英语 课 。
你口袋里有什么?	你 口袋 里 有 什么 ?
请把你身后的门关了。	请 把你 身后 的 门 关了 。
我可以吃这个吗?	我 可以吃 这个 吗 ?
你喝酒吗？	你 喝酒 吗 ？
我的钱包被偷了。	我的 钱包 被 偷了 。
他目前住在巴黎。	他 目前 住在 巴黎 。
我想不起来我在哪儿买的了。	我 想不起 来 我 在哪 儿 买的 了 。
我哪儿都不想去。	我 哪儿 都不 想去 。
眼见为实。	眼见为实 。
我有要紧事。	我 有 要紧 事 。
早起的鸟儿有虫吃。	早起 的 鸟儿 有 虫 吃 。
未来是属于早起的人的。	未来 是 属于 早起 的 人 的 。
我希望他很快就能好起来。	我 希望 他 很快 就 能 好起来 。
我怕会下雨。	我 怕 会 下雨 。
我能要一条被子吗?	我 能 要 一条 被子 吗 ?
天下着倾盆大雨。	天下 着 倾盆大雨 。
我想换点钱。	我 想 换 点钱 。
这些钢笔是他的。	这些 钢笔 是 他的 。
谁教你跳舞的?	谁 教 你 跳舞 的 ?
在厨房里。	在 厨房 里 。
明天早上6点给我打电话。	明天 早上 6 点 给 我 打电话 。
他比他们聪明。	他 比他 们 聪明 。
我们后天出发。	我们 后天 出发 。
我有两辆车。	我 有两 辆车 。
我登上了富士山顶。	我 登上 了 富士山 顶 。
他早上4点出发了。	他 早上 4 点出 发 了 。
他亲自来了。	他亲自 来 了 。
他们有12个孩子。	他们 有 12 个 孩子 。
我用12美元买的。	我 用 12 美元 买的 。
我们非常难过的时候就会哭。	我们 非常 难过 的时候 就会 哭 。
我从来没去过美国。	我 从来 没 去过 美国 。
他跟我借一百块。	他 跟 我 借 一百 块 。
波士顿的鸽子又胖又自豪。	波士顿 的 鸽子 又 胖 又 自豪 。
她坐出租车来了博物馆。	她 坐 出租车 来 了 博物馆 。
她的密友很少。	她的 密友 很少 。
严禁卖淫嫖娼，赌博，吸毒，酗酒滋事等违法犯罪活动！	严禁 卖淫嫖娼 ， 赌博 ， 吸毒 ， 酗酒 滋事 等 违法犯罪 活动 ！
弱肉强食。	弱肉强食 。
这双鞋子太小了。	这双 鞋子 太小 了 。
您成家了吗？	您 成家 了 吗 ？
这个是我父亲的。	这个 是 我 父亲 的 。
白蘿蔔可能比紅蘿蔔貴。	白 蘿 蔔 可能 比 紅 蘿 蔔 貴 。
她甚麼事也依賴老公。	她 甚麼 事 也 依賴 老公 。
把這條線分成二十個等分。	把 這條 線 分成 二十個 等分 。
亞馬遜河的長度僅次於尼羅河，是世界第二長的河。	亞馬遜 河 的 長度 僅次於 尼羅河 ， 是 世界 第二 長的 河 。
快要到早上的繁忙時段了，我們還不出發就要堵車了。	快要 到 早上 的 繁忙 時段 了 ， 我們 還不 出發 就 要 堵車 了 。
我買了這件減價的汗衫。	我 買了 這件 減價 的 汗衫 。
透過現今的生物科技，蕃薯燒酒已經變得十分容易入口了，因為那種難聞的蕃薯味道大部分已經被去除了。	透過 現今 的 生物 科技 ， 蕃薯 燒酒 已經 變得 十分 容易 入口 了 ， 因為 那種 難聞 的 蕃薯 味道 大部分 已經 被 去除 了 。
巴西是說甚麼語言的？	巴西 是 說 甚麼 語言 的 ？
昨天的天气很热。	昨天 的 天气 很热 。
他出名了。	他 出名 了 。
湖水和河水通常是温和的。	湖水 和 河水 通常 是 温和 的 。
你想要一杯咖啡吗?	你 想要 一杯 咖啡 吗 ?
你等了多久?	你等 了 多久 ?
他的梦想是去瑞士。	他的 梦想 是 去 瑞士 。
你所做的比你所说的更重要。	你 所做 的 比 你 所 说的 更重 要 。
他酷爱画画。	他 酷爱 画画 。
我咳嗽停不下来了。	我 咳嗽 停 不下 来 了 。
他成为了一个警察。	他 成为 了 一个 警察 。
我该去吗?	我 该 去 吗 ?
我听见有人叫我。	我 听见 有 人 叫我 。
他说他是在非洲出生的。	他 说 他 是 在 非洲 出生 的 。
他的所有家庭成员都很高。	他的 所有 家庭 成员 都 很高 。
我下了火车。	我 下了 火车 。
阅读改善思想。	阅读 改善 思想 。
他是在生的最伟大的艺术家。	他 是 在 生的 最 伟大 的 艺术家 。
大家都想去国外。	大家 都想 去 国外 。
把茄子洗了，并把两头去了。	把 茄子 洗 了 ， 并把 两头 去了 。
你有工作经验吗?	你 有 工作 经验 吗 ?
Bob是我朋友。	Bob是我朋友 。
他乘了去东京的快车。	他 乘 了 去 东京 的 快车 。
我什么都听不见。	我 什么 都 听不见 。
我们刚进房间，她就泣不成声了。	我们 刚 进 房间 ， 她 就 泣不成声 了 。
让门开着。	让 门开 着 。
他买了块手表给我。	他 买了 块 手表 给 我 。
我斩钉截铁地拒绝了。	我 斩钉截铁 地 拒绝 了 。
我生于京都。	我 生于 京都 。
他丢了他的工作。	他 丢了 他的 工作 。
你变了那么多，以至于我几乎认不出你了。	你 变了 那么 多 ， 以至于 我 几乎 认 不出 你 了 。
她非常怕黒。	她 非常 怕 黒 。
他和许多其他人一样问了我同样的问题。	他 和 许多 其他人 一样 问 了 我 同样 的 问题 。
昨天我遇到你父母了。	昨天 我 遇到 你 父母 了 。
他很少写信给他父亲。	他 很少 写信给 他 父亲 。
这顶帽子对我来说太紧了。	这 顶帽 子 对我来说 太紧 了 。
不只是你，就連我也該受責難。	不只 是 你 ， 就連 我 也 該受 責難 。
我相信這種藥對你的病情有幫助。	我 相信 這種 藥 對 你的 病情 有幫助 。
想吃一点巧克力奶酪吗？	想吃 一点 巧克力 奶酪 吗 ？
有个West先生在你不在的时候打过电话来。	有个 West先生在你不在的时候打过电话来 。
硬币的一面叫做"公"，另一面叫做"字"。	硬币 的 一面 叫做 " 公 " ， 另一面 叫做 " 字 " 。
今天早上很冷，不是吗?	今天 早上 很冷 ， 不是 吗 ?
我有一条狗。	我 有 一条 狗 。
我怕有问题。	我 怕 有问题 。
Ken，现在该是你去睡觉的时候了。	Ken ， 现在 该是 你去 睡觉 的时候 了 。
周日她通常在家。	周日 她 通常 在家 。
那天她来看我了。	那天 她 来看 我 了 。
"下次。"他说道。	" 下次 。 " 他 说道 。
他应该是从南部来的。	他 应该 是 从 南部 来的 。
我喜欢短发。	我 喜欢 短发 。
我已经吃过早饭了。	我 已经 吃过 早饭 了 。
这家店的寿司很好吃。	这家 店 的 寿司 很好 吃 。
我妹妹正在玩娃娃。	我 妹妹 正在 玩 娃娃 。
打牌很有意思。	打牌 很 有意思 。
沉默就意味着同意。	沉默 就 意味着 同意 。
大部分客人是外国人。	大部分 客人 是 外国人 。
我每天跑步。	我 每天 跑步 。
大家都同意你。	大家 都 同意 你 。
这个椅子很舒服。	这个 椅子 很 舒服 。
我渴望冒险。	我 渴望 冒险 。
亡羊补牢。	亡羊补牢 。
她想要一块蛋糕，但是没有了。	她 想要 一块 蛋糕 ， 但是 没有 了 。
没人接电话。	没人 接 电话 。
能不能请你把窗关了?	能不能 请你 把 窗 关了 ?
他全错了。	他 全 错了 。
他挖了一个洞。	他 挖 了 一个 洞 。
我没法让车开动。	我 没法 让 车 开动 。
眼睛是心灵的窗户。	眼睛 是 心灵 的 窗户 。
市中心有很多旅馆。	市中心 有 很多 旅馆 。
我们过去常常谈论我们的将来。	我们 过去 常常 谈论 我们 的 将来 。
生气是一种疯狂的形态。	生气 是 一种 疯狂 的 形态 。
我们该乘公交车吗?	我们 该 乘 公交车 吗 ?
他两年前去了巴黎。	他 两年 前去 了 巴黎 。
送货费没有包含在价格内。	送货 费 没有 包含 在 价格 内 。
他昨天出发去加拿大了。	他 昨天 出发 去 加拿大 了 。
乔治布什是美国第41任总统。	乔治 布什 是 美国 第 41 任 总统 。
冬天是我最喜欢的季节。	冬天 是 我 最喜 欢 的 季节 。
空气是气体的混合物。	空气 是 气体 的 混合物 。
你最好洗个澡暖和一下。	你 最好 洗 个 澡 暖和 一下 。
我母亲比我父亲大两岁。	我 母亲 比我 父亲 大 两岁 。
区别是什么?	区别 是 什么 ?
你需要多少小时的睡眠?	你 需要 多少 小时 的 睡眠 ?
我是一只饿了的蜘蛛。	我 是 一只 饿了 的 蜘蛛 。
我只剩下一粒糖了。	我 只剩 下一 粒 糖 了 。
蒸汽机将热量转化为能量。	蒸汽机 将 热量 转化 为能 量 。
不要把你的東西四處亂放。	不要 把你 的 東西 四處 亂放 。
他請我吃了頓美味的晚飯。	他 請 我 吃 了 頓 美味 的 晚飯 。
你能得到松饼数量将和你去IRC聊天的次数成反比。	你能 得到 松 饼 数量 将 和 你去 IRC聊天的次数成反比 。
今天的激进也许是明天的老生常谈。	今天 的 激进 也许 是 明天 的 老生常谈 。
涸辙之鲋。	涸辙之鲋 。
请坐一下。	请坐 一下 。
"几点了?""10点半了。"	" 几点 了 ? " " 10 点半 了 。 "
这个岛的经济依靠的是渔业。	这个 岛 的 经济 依靠 的 是 渔业 。
我看见他正在砍一棵树。	我 看见 他 正在 砍 一 棵 树 。
这个玩具是木制的。	这个 玩具 是 木制 的 。
他们是美国人吗?	他们 是 美国人 吗 ?
明年他要去国外旅游。	明年 他 要 去 国外 旅游 。
我偶然发现了那家餐馆。	我 偶然 发现 了 那家 餐馆 。
网球在学生中非常流行。	网球 在 学生 中非 常 流行 。
你能在这里签名吗?	你能 在这里 签名 吗 ?
与其让我在他手下干，我宁愿辞职。	与其 让我 在 他 手下 干 ， 我 宁愿 辞职 。
雨打在窗上。	雨打 在窗 上 。
她喜欢爵士乐，我也是。	她 喜欢 爵士乐 ， 我 也是 。
坐在角落的那個男人是誰？	坐在 角落 的 那個 男人 是 誰 ？
乘那輛巴士就可以到達動物園了。	乘 那輛 巴士 就 可以 到達 動物園 了 。
我一定要馬上去嗎？	我 一定 要 馬上 去 嗎 ？
房間裏有沒有浴缸？	房間 裏 有沒有 浴缸 ？
你要在他們回來之前把功課做完。	你 要 在 他們 回來 之前 把 功課 做完 。
這是我見過最美麗的景色。	這 是 我 見過 最 美麗 的 景色 。
無論在甚麼地方，過馬路前也應該先看清楚左右。	無論 在 甚麼 地方 ， 過 馬路 前 也 應該 先看 清楚 左右 。
火車還有五分鐘就要開了，她卻還沒有出現。	火車 還有 五分 鐘 就 要 開了 ， 她 卻 還沒有 出現 。
萬一他遲到的話怎麼辨？	萬一 他 遲到 的話 怎麼 辨 ？
「現在幾點鐘？」「三時二十分。」	「 現在 幾點 鐘 ？ 」 「 三時 二十 分 。 」
拜電視所賜，現在的小孩都不喜歡看書了。	拜 電視 所 賜 ， 現在 的 小孩 都不 喜歡 看書 了 。
這裏晚上很靜。	這 裏 晚上 很靜 。
他問了我的年齡、姓名、地址等等。	他 問 了 我的 年齡 、 姓名 、 地址 等等 。
我們住在學校附近。	我們 住在 學校 附近 。
我想不起「謝謝」用德語怎麼說。	我 想不起 「 謝謝 」 用 德語 怎麼 說 。
直率在日本人的眼中並不是一種美德。	直率 在 日本人 的 眼中 並不是 一種 美德 。
我們幫小貓取了一個名字，叫做 Mimi。	我們 幫 小貓 取 了 一個 名字 ， 叫做 Mimi 。
每四小时吃一下这个药。	每 四 小时 吃 一下 这个 药 。
她心脏病发了。	她 心脏病 发 了 。
我喜欢配白皮带的那个。	我 喜欢 配 白皮 带 的 那个 。
Tom在哪里出生的？	Tom在哪里出生的 ？
他們擁吻著。	他們 擁吻 著 。
他的岁数和你的差不多。	他的 岁数 和 你的 差不多 。
那个名字很普通吗？	那个 名字 很 普通 吗 ？
在郊区很安静。。。	在 郊区 很 安静 。 。 。
已經過了二十年了。	已經 過了 二十年 了 。
不要給警察發現你身上有槍。	不要 給 警察 發現 你 身上 有 槍 。
他剛剛才吃完午飯，不可能會肚子餓。	他 剛剛 才 吃完 午飯 ， 不可能 會 肚子 餓 。
有五分之四的會員反對這個計劃。	有 五分 之四 的 會員 反對 這個 計劃 。
請你把故事從頭到尾給我們說一遍。	請你 把 故事 從頭到尾 給 我們 說 一遍 。
咱們都是學生。	咱們 都 是 學生 。
咱們倆都是學生。	咱們 倆 都 是 學生 。
我們兩個人都是學生。	我們 兩個 人 都 是 學生 。
他們都是好學生。	他們 都 是 好學生 。
她們都是好學生。	她們 都 是 好學生 。
他們兩個人都是好學生。	他們 兩個 人 都 是 好學生 。
她們兩個人都是好學生。	她們 兩個 人 都 是 好學生 。
你和我都是這個學校的學生們。	你 和 我 都 是 這個 學校 的 學生 們 。
他是權威的經濟學家。	他 是 權威 的 經濟學 家 。
別回頭。	別 回頭 。
要是你不去滑雪我也不去。	要是 你 不去 滑雪 我 也 不去 。
你要綠色的還是藍色的？	你 要 綠色 的 還是 藍色 的 ？
今天的使命：奶茶跟麻糬。	今天 的 使命 ： 奶茶 跟 麻 糬 。
葡萄酒的味道很受天氣影響。	葡萄酒 的 味道 很受 天氣 影響 。
你回家途中順道來看看我吧。	你 回家 途中 順道 來看 看 我 吧 。
這些習俗和我們國家不同。	這些 習俗 和 我們 國家 不同 。
這是一道深奧的數學題。	這 是 一道 深奧 的 數學 題 。
你可以帶我去嗎？	你 可以 帶 我 去 嗎 ？
你每天都是做一模一樣的東西，難道不會覺得悶嗎？	你 每天 都 是 做 一模一樣 的 東西 ， 難道 不會 覺得 悶 嗎 ？
因為他不小心，所以才會發生意外。	因為 他 不小心 ， 所以 才會 發生 意外 。
一般來說，你應該為每兩個客人準備一磅牛肉。	一般來說 ， 你 應該 為 每兩 個 客人 準 備 一 磅 牛肉 。
好熱啊，我快受不了啦。	好 熱 啊 ， 我 快 受不了 啦 。
我會處理這個問題。	我 會 處理 這個 問題 。
雖然受到他們的強烈反對，但我們還是實行了我們的計劃。	雖然 受到 他們的 強烈 反對 ， 但 我們 還是 實行 了 我們 的 計劃 。
我要用魔法把他變成一隻青蛙！	我 要用 魔法 把 他 變成 一隻 青蛙 ！
下這麼大的雨，也幫我們搬家，他人真好！	下 這麼 大 的 雨 ， 也 幫我 們 搬家 ， 他人 真好 ！
米克整天都在求爸爸買車給他。	米克 整天 都 在 求 爸爸 買 車 給 他 。
他給我解釋了半天，但我還是不明白。	他 給 我 解釋 了 半天 ， 但 我 還是 不明 白 。
過了差不多十年，你還是和以前一樣漂亮。	過了 差不多 十年 ， 你 還是 和 以前 一樣 漂亮 。
你真的愛我嗎？	你 真的 愛 我 嗎 ？
貝克小姐知道那個年輕男子很快就要離開了，所以決定請求他將車稍微移開，如此一來她就能在夜間入睡前將她的車停到正確的位置。	貝克 小姐 知道 那個 年輕 男子 很快 就 要 離開 了 ， 所以 決定 請求 他 將 車 稍微 移開 ， 如此 一來 她 就 能 在 夜間 入睡 前 將她 的 車 停 到 正確 的 位置 。
他是經濟學的專家。	他 是 經濟學 的 專家 。
请让我到火车站去接你的姐姐。	请 让我 到 火车站 去接 你的 姐姐 。
明尼苏达州的官方鸟就是蚊子。	明尼苏达 州 的 官方 鸟 就是 蚊子 。
我回到家的時候肚子十分餓。	我 回到 家 的時候 肚子 十分 餓 。
和這幅比起上來，那幅畫的色彩鮮艷多了。	和 這幅 比起 上來 ， 那 幅 畫的 色彩 鮮艷 多了 。
我寧願到不喜歡的公司工作，也不想渾渾噩噩的又過一年。	我 寧願 到 不喜歡 的 公司 工作 ， 也 不想 渾渾噩噩 的 又 過 一年 。
把這些生字寫進你的筆記簿內。	把 這些 生字 寫進 你的 筆記 簿 內 。
你甚麼時候從倫敦回來了？	你 甚麼 時候 從 倫敦 回來 了 ？
給母親責罵的時候不要回嘴。	給 母親 責罵 的時候 不要 回嘴 。
雖然已經踏入了新世紀，但是工廠僱用童工的情況還是沒有改善。	雖然 已經 踏入 了 新世 紀 ， 但是 工廠 僱 用 童工 的 情況 還是 沒有 改善 。
駱駝是沙漠之舟。	駱駝 是 沙漠 之 舟 。
這門生意是個賺大錢的好機會，月入可以達到一百萬円！	這 門生 意 是 個 賺 大錢 的 好 機會 ， 月入 可以 達到 一百萬 円 ！
拜託你開門讓我進來吧。	拜 託 你 開門 讓 我 進來 吧 。
電腦產業的發展一日千里。	電腦 產業 的 發展 一日千里 。
你一定要考慮清楚你想做怎麼樣的工作。	你 一定 要 考慮 清楚 你 想做 怎麼樣 的 工作 。
這些花放在哪裏也沒關係，顯眼就行了。	這些 花 放在 哪 裏 也 沒關 係 ， 顯眼 就 行了 。
電視的發明為我們的生活模式帶來了巨大的變化。	電視 的 發明 為 我們 的 生活 模式 帶來 了 巨大 的 變化 。
我完全搞不懂那道問題在問甚麼。	我 完全 搞 不懂 那 道 問題 在 問 甚麼 。
這兩個學生都通過了所有的測驗。	這 兩個 學生 都 通過了 所有 的 測驗 。
他迫不及待地想要知道结果。	他 迫不及待 地 想要 知道 结果 。
根据国土安全部的规定，目前的安全水准是橙色等级。	根据 国土 安全部 的 规定 ， 目前 的 安全 水准 是 橙色 等级 。
如果你可以在下個星期還給我的話，這本書就借給你吧。	如果 你 可以 在下 個 星期 還給 我的 話 ， 這本 書 就 借給 你吧 。
指揮官要求士兵立刻開火。	指揮官 要求 士兵 立刻 開火 。
托尼打網球打得真好啊！	托尼 打 網球 打得 真好 啊 ！
你放假打算去甚麼地方玩呢？	你 放假 打算 去 甚麼 地方 玩 呢 ？
他在國際象棋比賽中取得了冠軍。	他 在 國際象棋 比賽 中 取得 了 冠軍 。
你小時候是不是有很多快樂的經歷呢？	你 小時候 是不是 有 很多 快樂 的 經歷 呢 ？
這條河寬一英里。	這條 河 寬 一 英里 。
她把蘋果切成了兩半。	她 把 蘋果 切成 了 兩半 。
學生不得在校園範圍內吸煙。	學生 不得 在校 園 範 圍內 吸煙 。
誰在彈吉他？	誰在 彈吉他 ？
我們有某些地方和他們不同。	我們 有 某些 地方 和 他們 不同 。
現在幾乎每家每戶也有一兩台電視機了。	現在 幾乎 每家 每戶 也 有 一 兩台 電視機 了 。
想像一下 Ed 男扮女裝之後會變成甚麼樣子。	想像 一下 Ed 男扮女裝 之後 會變 成 甚麼 樣子 。
你想吃什么？	你 想吃 什么 ？
您想吃什么？	您 想吃 什么 ？
你们想吃什么？	你们 想吃 什么 ？
你想喝什么？	你 想 喝 什么 ？
您想喝什么？	您 想 喝 什么 ？
你们想喝什么？	你们 想 喝 什么 ？
我来啦。	我 来 啦 。
你们是几位？	你们 是 几位 ？
我如果休息一会没问题吧？	我 如果 休息 一会 没问题 吧 ？
你怎麼沒有來？	你 怎麼 沒有 來 ？
你不想吃饭吗？	你 不想 吃饭 吗 ？
您不想吃饭吗？	您 不想 吃饭 吗 ？
你们不想吃饭吗？	你们 不想 吃饭 吗 ？
艾马提，我们需要更多肉！	艾马 提 ， 我们 需要 更多 肉 ！
你们有没有素抓饭？	你们 有没有 素 抓 饭 ？
我想喝点什么。	我 想 喝点 什么 。
我们只有茶水。	我们 只有 茶水 。
在面汤里有个苍蝇。	在 面汤 里 有个 苍蝇 。
我们只做维族式的饭菜。	我们 只做 维族 式 的 饭菜 。
你想吃几串烤羊肉？	你 想吃 几 串 烤 羊肉 ？
您想吃几串烤羊肉？	您 想吃 几 串 烤 羊肉 ？
你们想吃几串烤羊肉？	你们 想吃 几 串 烤 羊肉 ？
有缘千里来相会，无缘对面不相逢。	有缘 千里 来 相会 ， 无缘 对面 不相 逢 。
你一般几点下班？	你 一般 几点 下班 ？
你们一般几点下班？	你们 一般 几点 下班 ？
您一般几点下班？	您 一般 几点 下班 ？
我们有五种烤肉串。	我们 有 五种 烤肉 串 。
一盘抓饭配一些烤肉串就是人间天堂。	一盘 抓 饭 配 一些 烤肉 串 就是 人间 天堂 。
她的手提包被偷了。	她的 手提包 被 偷了 。
张大嘴。	张大 嘴 。
他做的事情你赞成的吧？	他 做 的 事情 你 赞成 的 吧 ？
我当然同意的。	我 当然 同意 的 。
你到底答应吗？	你 到底 答应 吗 ？
不答应，我从来没有答应过。	不答应 ， 我 从来没有 答应 过 。
他考GRE、TOEFL，你到底知道吗？	他 考 GRE 、 TOEFL ， 你 到底 知道 吗 ？
我不太清楚。	我 不太 清楚 。
海滩上你到底愿意去吗？	海滩 上 你 到底 愿意 去 吗 ？
你不准备去，是吗？	你 不准 备 去 ， 是吗 ？
要我做保姆，我不愿意做。	要 我 做 保姆 ， 我 不愿意 做 。
我也许不会反对他去。	我 也许 不会 反对 他 去 。
你怎么连动也不动？	你 怎么 连 动 也 不动 ？
谁理他！我理也不要理他！	谁 理 他 ！ 我 理 也 不要 理 他 ！
快一点好吧！	快 一点 好吧 ！
急什么！	急 什么 ！
你怎么这么要紧哪！	你 怎么 这么 要紧 哪 ！
你怎么这么慢！	你 怎么 这么 慢 ！
为什么不听我的话？	为什么 不听 我的 话 ？
怎样做怎么不告诉我听？	怎样 做 怎么 不 告诉 我 听 ？
你为什么要骂人家？	你 为什么 要 骂人 家 ？
为啥不早点讲！	为啥 不早 点 讲 ！
叫你去为什么不去？	叫 你去 为什么 不去 ？
一切都是为了你，所以不去！	一切 都 是 为了 你 ， 所以 不去 ！
你这种人差劲吗！	你 这种 人 差劲 吗 ！
你讲一点素质行吗！	你 讲 一点 素质 行吗 ！
我真是不好意思！	我 真是 不好意思 ！
因为我没听到。	因为 我 没听 到 。
我做底实在太潦草。	我 做 底 实在 太 潦草 。
实在抱歉，真对不起你！	实在 抱歉 ， 真 对不起 你 ！
把门开开！	把门 开开 ！
把这条阴沟通好！	把 这条 阴沟 通 好 ！
替我寄了那封信！	替 我 寄 了 那 封信 ！
把脏衣服拿去洗一洗！	把 脏 衣服 拿去 洗 一 洗 ！
你去叫他来。	你去 叫 他 来 。
我带你们去。	我 带 你们 去 。
跟我来！	跟 我 来 ！
快点去！干什么慢腾腾、呆头呆脑的！	快点 去 ！ 干什么 慢腾腾 、 呆头呆脑 的 ！
等我一下，待一会儿！	等我 一下 ， 待 一会儿 ！
给，给你！	给 ， 给 你 ！
请向前一步。	请向 前一 步 。
走过去一点！	走过 去 一点 ！
“您住在哪儿？”“这家酒店。”	“ 您 住在 哪儿 ？ ” “ 这家 酒店 。 ”
走啊！大家可以开始走了！	走 啊 ！ 大家 可以 开始 走了 ！
轻一点儿放！	轻 一点儿 放 ！
请安静一点！	请安 静 一点 ！
我时间来不及啦，你快一点呀！	我 时间 来不及 啦 ， 你 快 一点 呀 ！
两周没有下过一滴雨了。	两周 没有 下 过 一滴 雨 了 。
排好队，不要插队！	排好 队 ， 不要 插队 ！
不能去乱碰的！	不能 去 乱 碰 的 ！
你别来捣蛋行吧！	你别 来 捣蛋 行 吧 ！
你别胡说！	你别 胡说 ！
我平常醒得特别早。	我 平常 醒 得 特别 早 。
我爱睡懒觉。	我 爱睡 懒觉 。
我每天六点钟起床。	我 每天 六点 钟 起床 。
我要睡到八点半才起身。	我 要 睡 到 八点半 才 起身 。
我穿好衣服以后就吃早饭。	我 穿好 衣服 以后 就 吃早饭 。
我时间有点来不及，只能出门买大饼油条。	我 时间 有点 来不及 ， 只能 出门 买 大饼 油条 。
我可以不慌不忙吃牛奶面包鸡蛋，或者泡饭酱菜。	我 可以 不慌不忙 吃 牛奶 面包 鸡蛋 ， 或者 泡饭 酱菜 。
我每天早晨八点离开家，九点开始工作。	我 每天 早晨 八点 离开 家 ， 九点 开始 工作 。
从上午一直做到傍晚。	从上 午 一直 做到 傍晚 。
中午十二点左右，到我们单位的饭厅去吃午饭。	中午 十二点 左右 ， 到 我们 单位 的 饭厅 去 吃午饭 。
我们常常做到下午一点，盒饭是送上来的。	我们 常常 做到 下午 一点 ， 盒饭 是 送上 来的 。
做完工作一般是五点半回到家里吃晚饭。	做完 工作 一般 是 五点半 回到 家里 吃 晚饭 。
晚上翻翻晚报，看看电视，洗个澡就睡觉。	晚上 翻翻 晚报 ， 看看 电视 ， 洗 个 澡 就 睡觉 。
我晚上总要出去，和朋友一起玩儿。	我 晚上 总要 出去 ， 和 朋友 一起 玩儿 。
回来再上上网，发几个伊妹儿，搞到十一点才睡觉。	回来 再上 上网 ， 发 几个 伊妹儿 ， 搞到 十一点 才 睡觉 。
你现在在做什么？	你 现在 在做 什么 ？
我正在打电脑。	我 正在 打 电脑 。
你的朋友近来在忙些什么？	你的 朋友 近来 在 忙 些 什么 ？
他一直在做买卖。	他 一直 在做 买卖 。
目前我没在做什么事情。	目前 我 没 在做 什么 事情 。
你的朋友怎么还没来？	你的 朋友 怎么 还没 来 ？
你看，他正在过来。	你 看 ， 他 正在 过来 。
天气一天天冷下来了。	天气 一天 天冷 下来 了 。
他在慢慢地赶上去。	他 在 慢慢 地 赶上 去 。
他要上进了。	他 要 上进 了 。
你不要装聋作哑！	你 不要 装聋作哑 ！
